minecraft:apple	苹果
minecraft:golden_apple	金苹果
minecraft:enchanted_golden_apple	附魔金苹果
minecraft:mushroom_stew	蘑菇汤
minecraft:bread	面包
minecraft:porkchop	生猪肉
minecraft:cooked_porkchop	烤猪肉
minecraft:cod	生鳕鱼
minecraft:salmon	生鲑鱼
minecraft:tropical_fish	热带鱼
minecraft:pufferfish	河豚
minecraft:cooked_cod	烤鳕鱼
minecraft:cooked_salmon	烤鲑鱼
minecraft:dried_kelp	海带干
minecraft:cookie	饼干
minecraft:melon_slice	西瓜
minecraft:beef	生牛肉
minecraft:cooked_beef	牛排
minecraft:chicken	生鸡肉
minecraft:cooked_chicken	烤鸡
minecraft:rotten_flesh	腐肉
minecraft:spider_eye	蜘蛛眼
minecraft:carrot	胡萝卜
minecraft:potato	马铃薯
minecraft:baked_potato	烤马铃薯
minecraft:poisonous_potato	毒马铃薯
minecraft:golden_carrot	金胡萝卜
minecraft:pumpkin_pie	南瓜派
minecraft:beetroot	甜菜根
minecraft:beetroot_soup	甜菜汤
minecraft:sweet_berries	甜莓
minecraft:rabbit	生兔肉
minecraft:cooked_rabbit	烤兔肉
minecraft:rabbit_stew	兔肉汤
minecraft:wheat_seeds	种子
minecraft:pumpkin_seeds	南瓜种子
minecraft:melon_seeds	西瓜种子
minecraft:nether_wart	地狱疙瘩
minecraft:beetroot_seeds	甜菜种子
minecraft:iron_shovel	铁铲
minecraft:iron_pickaxe	铁镐
minecraft:iron_axe	铁斧
minecraft:flint_and_steel	打火石
minecraft:bow	弓
minecraft:arrow	箭
minecraft:coal	煤炭
minecraft:charcoal	木炭
minecraft:diamond	钻石
minecraft:iron_ingot	铁锭
minecraft:gold_ingot	金锭
minecraft:iron_sword	铁剑
minecraft:wooden_sword	木剑
minecraft:wooden_shovel	木铲
minecraft:wooden_pickaxe	木镐
minecraft:wooden_axe	木斧
minecraft:stone_sword	石剑
minecraft:stone_shovel	石铲
minecraft:stone_pickaxe	石镐
minecraft:stone_axe	石斧
